# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1605
#@/user_id	MatebookE
a 	啊	c=25 d=4.60339 t=1599
que ding 	确定	c=1 d=1 t=582
que shi 	确实	c=3 d=2.00396 t=1297
que xin 	确信	c=1 d=1 t=133
qun 	群	c=-3 d=0.80896 t=1560
qun ming 	群名	c=1 d=1 t=1480
ran hou 	然后	c=2 d=1.29376 t=1242
rang wo 	让我	c=1 d=1 t=746
ren 	人	c=4 d=1.32891 t=1467
ren qun 	人群	c=1 d=1 t=654
ren sheng 	人生	c=0 d=0.1 t=1323
ren zhe 	忍着	c=1 d=1 t=968
reng 	仍	c=1 d=1 t=849
reng 	扔	c=1 d=1 t=850
ri yu 	日语	c=1 d=1 t=888
rong qi 	容器	c=1 d=1 t=265
ru guo 	如果	c=1 d=1 t=1195
ru he 	如何	c=1 d=1 t=27
ru he jiang 	如何将	c=1 d=1 t=17
ru he rang 	如何让	c=1 d=1 t=24
ruan jian 	软件	c=2 d=1.96561 t=121
sai 	赛	c=0 d=0.1 t=15
sai bo 	赛博	c=1 d=1 t=1407
san 	三	c=1 d=0.176919 t=1390
san ge ren 	三个人	c=1 d=1 t=1393
san xian cheng 	三线程	c=1 d=1 t=1391
se tu 	涩图	c=1 d=1 t=1364
shang 	上	c=3 d=1.25383 t=1214
shang bu liao 	上不了	c=1 d=1 t=1143
shang ci 	上次	c=3 d=1.03265 t=1284
shang lie 	上列	c=0 d=0.1 t=670
shang wu 	上午	c=1 d=1 t=1430
shao shu 	少数	c=2 d=1.81465 t=1499
she jiao 	社交	c=1 d=1 t=1043
she lie 	涉猎	c=1 d=1 t=1264
she si 	社死	c=0 d=0.1 t=159
she tuan 	社团	c=1 d=1 t=1228
shei a 	谁啊	c=1 d=1 t=1487
shen 	神	c=1 d=1 t=830
shen fen zheng 	身份证	c=1 d=1 t=1313
shen he 	审核	c=1 d=1 t=130
shen ke 	深刻	c=0 d=0.1 t=87
shen me 	什么	c=10 d=2.65689 t=1405
shen me shi hou 	什么时候	c=1 d=1 t=413
shen me yi si 	什么意思	c=1 d=1 t=754
shen zhi 	甚至	c=1 d=1 t=737
sheng xia 	剩下	c=2 d=1.97045 t=491
sheng xia 	生下	c=1 d=1 t=1245
sheng xia de 	剩下的	c=1 d=1 t=202
shi 	事	c=2 d=1.21225 t=1519
shi 	是	c=16 d=1.91708 t=1526
shi ba 	是吧	c=3 d=1.82836 t=1087
shi bu shi 	是不是	c=2 d=1.27943 t=330
shi cheng 	事成	c=1 d=1 t=1372
shi ge 	是个	c=2 d=1.0662 t=1135
shi hou 	时候	c=3 d=2.30599 t=1268
shi jian 	时间	c=1 d=1 t=1433
shi lai mu 	史莱姆	c=3 d=2.31324 t=876
shi pin 	视频	c=1 d=1 t=695
shi sha 	是啥	c=1 d=1 t=1374
shi shen 	是神	c=1 d=1 t=936
shi shi 	试试	c=2 d=1.02328 t=1359
shi ta 	是他	c=1 d=1 t=559
shi wo 	是我	c=0 d=0.1 t=1337
shi wo xiang de 	是我想的	c=1 d=1 t=1338
shi yin wei 	是因为	c=1 d=1 t=1190
shi you 	是由	c=0 d=0.1 t=731
shi you yuan yin de 	是由原因的	c=1 d=1 t=732
shi zhe yang de 	是这样的	c=1 d=1 t=1188
shi zhi 	视之	c=0 d=0.1 t=1325
shou cang 	收藏	c=2 d=1.22537 t=572
shou cang jia 	收藏夹	c=3 d=2.1763 t=814
shou dao 	收到	c=1 d=1 t=1441
shou ji 	手机	c=2 d=1.07577 t=669
shou ye 	首页	c=1 d=1 t=862
shu 	输	c=0 d=0.1 t=1356
shu bao 	书包	c=1 d=1 t=1420
shu ju 	数据	c=1 d=1 t=333
shu ru 	输入	c=2 d=1.03956 t=1336
shua 	刷	c=1 d=1 t=541
shua dao 	刷到	c=1 d=1 t=863
shuang shuang 	双双	c=1 d=1 t=1521
shui 	谁	c=2 d=1.87372 t=1473
shui jiao le 	睡觉了	c=1 d=1 t=1307
shui le 	睡了	c=1 d=1.05123 t=1424
shui le shui le 	睡了睡了	c=1 d=1 t=1425
shuo 	说	c=7 d=1.36946 t=1532
shuo bu ding 	说不定	c=0 d=0.1 t=1237
shuo de 	说的	c=2 d=1.21762 t=404
shuo de hao 	说得好	c=1 d=1 t=1500
shuo ge 	说个	c=1 d=1 t=1207
shuo guo 	说过	c=1 d=1 t=191
si 	嘶	c=5 d=1.3454 t=1046
si lu 	思路	c=1 d=1 t=1603
si ren 	四人	c=1 d=1 t=1504
si ren 	死人	c=0 d=0.1 t=1505
si ren qun 	死人群	c=1 d=1 t=1506
si shi 	四十	c=1 d=1 t=304
song ge 	送个	c=1 d=1 t=1387
song xin 	送信	c=1 d=1 t=1408
sou 	搜	c=5 d=4.75727 t=739
sou bu liao 	搜不了	c=1 d=1 t=727
sou dao 	搜到	c=1 d=1 t=125
sou suo 	搜索	c=2 d=1.07244 t=688
suan 	算	c=1 d=1 t=443
suan bu shang 	算不上	c=1 d=1 t=1316
sui bian 	随便	c=1 d=1.01008 t=1162
sui bian sou 	随便搜	c=1 d=1 t=704
suo yi 	所以	c=3 d=1.18858 t=1373
ta 	他	c=5 d=3.86416 t=523
ta 	她	c=7 d=1.28501 t=1524
ta 	它	c=1 d=1 t=1276
ta bu shi 	他不是	c=1 d=1 t=1575
ta lia 	他俩	c=1 d=1 t=529
ta men 	他们	c=1 d=1 t=1386
tai 	太	c=1 d=1 t=526
tang 	糖	c=1 d=1 t=1060
tang zhe 	躺着	c=1 d=1 t=350
tao 	套	c=1 d=1 t=1169
te bie 	特别	c=1 d=1 t=1119
te bie shi 	特别是	c=1 d=1 t=1132
ti qian 	提前	c=1 d=1 t=1573
ti zi 	梯子	c=1 d=1 t=178
tian jin yi zhong 	天津一中	c=1 d=1 t=1124
tian qi 	天气	c=1 d=1 t=234
tian tang 	天堂	c=1 d=1 t=1321
tiao 	挑	c=2 d=1.00465 t=1352
tiao dan 	跳蛋	c=1 d=1 t=252
tiao pin 	调频	c=1 d=1 t=1528
ting 	挺	c=4 d=1.33903 t=1136
ting bu dao 	听不到	c=1 d=1 t=1439
ting hao de 	挺好的	c=2 d=1.00255 t=1305
ting hao yong de 	挺好用的	c=2 d=1.46301 t=828
ting hua 	听话	c=1 d=1 t=1223
ting shen ke 	挺深刻	c=1 d=1 t=88
ting shi yong 	挺实用	c=1 d=1 t=602
ting xi huan 	挺喜欢	c=2 d=1.08127 t=867
tong shi 	同时	c=1 d=1 t=1394
tong yi 	同意	c=1 d=1 t=917
tong yi shu 	同意书	c=1 d=1 t=1070
tong yong 	通用	c=1 d=1 t=218
tou 	头	c=1 d=1 t=172
tou 	投	c=0 d=0.1 t=1470
tou bu liao 	投不了	c=1 d=1 t=1471
tou fa 	头发	c=1 d=1 t=973
tu ran 	突然	c=1 d=1 t=1047
tui 	推	c=1 d=1 t=913
tui jian 	推荐	c=2 d=1.99501 t=883
wai mai 	外卖	c=1 d=1 t=7
wai zhi 	外置	c=1 d=1 t=939
wan 	晚	c=1 d=1 t=1565
wan 	玩	c=-4 d=0.0246157 t=1560
wan de 	玩的	c=1 d=1 t=50
wan dian 	晚点	c=1 d=1 t=371
wan duo 	万多	c=1 d=1 t=47
wan duo 	玩多	c=1 d=1 t=48
wan quan 	完全	c=1 d=1 t=102
wan shi bu gong 	玩世不恭	c=1 d=1 t=1137
wan shou ji 	玩手机	c=1 d=1 t=1100
wang 	往	c=-1 d=0.028297 t=1560
wang ke 	网课	c=1 d=1 t=440
wang le 	忘了	c=1 d=1.02312 t=1248
wang meng jie 	王梦捷	c=2 d=1.99005 t=1288
wang na 	往哪	c=1 d=1 t=283
wang pan 	网盘	c=1 d=1 t=854
wang wai 	往外	c=1 d=1 t=912
wang yi yun 	网易云	c=1 d=1 t=942
wei 	伪	c=-1 d=0.000122477 t=1560
wei cheng nian 	未成年	c=5 d=4.79113 t=717
wei fang an 	伪方案	c=1 d=1 t=220
wei le 	为了	c=1 d=1 t=540
wei niang 	伪娘	c=4 d=1.11327 t=1332
wei sha 	为啥	c=1 d=1 t=1345
wei shen me 	为什么	c=2 d=1.3624 t=273
wei xin 	微信	c=2 d=1.32287 t=911
wei zhi 	位置	c=1 d=1 t=260
wen 	问	c=-1 d=0.00492917 t=1560
wen hai zi 	问孩子	c=1 d=1 t=959
wen jian 	文件	c=4 d=2.00794 t=886
wen ti 	问题	c=2 d=1.09976 t=1537
wen ti shi 	问题是	c=1 d=1 t=1204
wen zhe wen na 	问这问那	c=1 d=1 t=991
wo 	我	c=22 d=2.55162 t=1596
wo ba 	我把	c=1 d=1 t=1257
wo bi jiao 	我比较	c=1 d=1 t=660
wo bu 	我不	c=0 d=0.1 t=1274
wo bu hui 	我不会	c=1 d=1 t=614
wo bu kao 	我不靠	c=1 d=1 t=1275
wo bu neng 	我不能	c=1 d=1 t=1272
wo bu tai 	我不太	c=1 d=1 t=581
wo bu xi huan 	我不喜欢	c=1 d=1 t=108
wo bu zhi dao 	我不知道	c=1 d=1 t=173
wo dei 	我得	c=1 d=1 t=1413
wo dou 	我都	c=1 d=1 t=181
wo hai 	我还	c=2 d=1.00053 t=1564
wo ji de 	我记得	c=1 d=1 t=78
wo jia 	我家	c=1 d=1 t=324
wo jiu shi 	我就是	c=1 d=1 t=1530
wo ju jue 	我拒绝	c=1 d=1 t=167
wo jue de 	我觉得	c=2 d=1.84789 t=71
wo ke neng 	我可能	c=1 d=1 t=748
wo lian 	我连	c=1 d=1 t=1079
wo ma 	我吗	c=1 d=1 t=969
wo ma 	我妈	c=3 d=2.10892 t=1193
wo men 	我们	c=1 d=1 t=1015
wo neng 	我能	c=1 d=1 t=1122
wo qu 	我去	c=2 d=1.02661 t=1306
wo qu pai 	我去拍	c=1 d=1 t=537
wo shi 	我是	c=1 d=1 t=345
wo wang le 	我忘了	c=1 d=1 t=412
wo xi huan 	我喜欢	c=1 d=1 t=430
wo xiang 	我想	c=2 d=1.33622 t=976
wo ye 	我也	c=8 d=1.11953 t=1604
wo ye xiang zhi dao 	我也想知道	c=1 d=1 t=494
wo ying gai 	我应该	c=1 d=1 t=1570
wo you 	我有	c=1 d=1 t=575
wo zai 	我在	c=2 d=1.30882 t=844
wo zhe 	我这	c=1 d=1 t=314
wo zhen 	我真	c=1 d=1 t=1205
wo zhi qian 	我之前	c=1 d=1 t=1019
wu liao 	无聊	c=1 d=1 t=856
xi huan 	喜欢	c=2 d=1.00883 t=1051
xi jun 	细菌	c=1 d=1 t=1534
xi suo 	细嗦	c=2 d=1.06111 t=841
xia 	下	c=1 d=1 t=606
xia qu 	下去	c=1 d=1 t=51
xia wu 	下午	c=2 d=1.956 t=1436
xia xue qi 	下学期	c=1 d=1 t=551
xia zai 	下载	c=1 d=1 t=241
xia zui 	下嘴	c=1 d=1 t=284
xian 	嫌	c=1 d=1 t=296
xian cheng 	线程	c=0 d=0.1 t=1390
xian shi 	显示	c=2 d=1.68386 t=300
xian zai 	现在	c=7 d=1.3073 t=1497
xian zai shuo bu ding 	现在说不定	c=1 d=1 t=1238
xiang 	像	c=2 d=1.49907 t=1230
xiang 	想	c=6 d=1.39374 t=1531
xiang chou 	乡愁	c=1 d=1 t=557
xiang dao 	想到	c=1 d=1 t=1048
xiang de 	想的	c=0 d=0.1 t=1337
xiang jin 	想尽	c=1 d=1 t=1219
xiang zhi dao 	想知道	c=1 d=1 t=1605
xiao gui 	小鬼	c=0 d=0.1 t=1408
xiao qu 	小区	c=1 d=1 t=336
xiao shi hou 	小时候	c=1 d=1 t=1184
xiao xi 	消息	c=2 d=1.01878 t=1492
xiao xue 	小学	c=3 d=1.53971 t=1234
xiao yao niang 	小药娘	c=1 d=1 t=651
xie 	些	c=2 d=1.04179 t=1385
xie 	写	c=1 d=1 t=1418
xie de 	写的	c=0 d=0.1 t=559
xie de ba 	写的吧	c=1 d=1 t=560
xie gang 	斜杠	c=2 d=1.91851 t=20
xie hui 	协会	c=3 d=2.94605 t=1229
xie ru dao 	写入到	c=1 d=1 t=22
xin 	信	c=1 d=1 t=1388
xin 	新	c=2 d=1.39259 t=339
xin dang 	新档	c=1 d=1 t=663
xin li 	心理	c=1 d=1 t=1075
xin xi 	信息	c=1 d=1 t=1318
xin xiang 	心想	c=1 d=1 t=1371
xing bie 	性别	c=1 d=1 t=1081
xing kong jian dao 	星空键道	c=1 d=1 t=236
xing ma 	形码	c=1 d=1 t=1335
xing tie 	星铁	c=1 d=1 t=76
xu yao 	需要	c=2 d=1.015 t=1016
xuan ci 	选词	c=1 d=1 t=894
xuan dan 	选单	c=1 d=1 t=225
xuan ze 	选择	c=1 d=1 t=987
xue 	学	c=1 d=1 t=1389
xue duan 	学段	c=1 d=1 t=723
xue li 	学历	c=1 d=1 t=1154
xue sheng hui 	学生会	c=1 d=1 t=546
xue xi 	学习	c=2 d=1.02535 t=1189
xue xiao 	学校	c=1 d=1.00066 t=1509
ya zhi 	压制	c=1 d=1 t=742
yan 	严	c=-2 d=0.208587 t=1560
yan 	眼	c=-1 d=0.0308819 t=1560
yan jia rui 	闫家瑞	c=1 d=1 t=525
yan zhi 	颜值	c=2 d=1.99005 t=1293
yang zi 	样子	c=1 d=1 t=1187
yao 	要	c=-4 d=1.50845 t=1560
yao bu yao 	要不要	c=1 d=1 t=846
yao dang 	要当	c=1 d=1 t=1587
yao qiu 	要求	c=2 d=1.97531 t=1118
yao xue 	要学	c=1 d=1 t=1283
ye 	也	c=-4 d=0.443524 t=1560
ye bu xing 	也不行	c=1 d=1 t=975
ye jiu 	也就	c=1 d=1 t=458
ye mei you 	也没有	c=1 d=1 t=637
ye neng 	也能	c=1 d=1 t=806
ye shi 	也是	c=4 d=1.12027 t=972
ye zhao 	也找	c=1 d=1 t=66
yi 	一	c=-2 d=0.0411934 t=1560
yi ban 	一般	c=1 d=1 t=154
yi dui 	一堆	c=0 d=0.1 t=1377
yi dui hua 	一堆话	c=1 d=1 t=1378
yi dui ren 	一堆人	c=1 d=1 t=1585
yi fang tong xing 	一方通行	c=1 d=1 t=903
yi ge 	一个	c=6 d=1.6068 t=1404
yi gong 	一共	c=2 d=1.12246 t=478
yi jian 	意见	c=1 d=1 t=960
yi jing 	已经	c=1 d=1 t=301
yi jing shi 	已经是	c=1 d=1 t=1233
yi li 	毅力	c=1 d=1 t=64
yi liang 	一两	c=0 d=0.1 t=629
yi liang pian 	一两篇	c=1 d=1 t=630
yi meng wei ma 	以梦为马	c=1 d=1 t=1369
yi sheng 	医生	c=1 d=1 t=1073
yi xia 	一下	c=0 d=0.1 t=1356
yi yang 	一样	c=1 d=1 t=103
yi zheng ge 	一整个	c=1 d=1 t=29
yi zhi 	一直	c=1 d=1 t=1096
yi zhou 	一周	c=1 d=1 t=1574
yin dao 	引导	c=1 d=1 t=231
yin qing 	引擎	c=2 d=1.09877 t=689
yin wei 	因为	c=3 d=1.34102 t=1435
yin xiang 	印象	c=1 d=1 t=87
ying gai 	应该	c=4 d=2.26206 t=816
ying gai shi 	应该是	c=4 d=1.10826 t=1410
ying yu 	英语	c=2 d=2.05735 t=490
yong 	用	c=-2 d=0.374253 t=1560
yong bu dao 	用不到	c=1 d=1 t=1157
yong hu 	用户	c=1 d=1 t=164
you 	又	c=-1 d=0.0578443 t=1560
you 	有	c=-6 d=0.289134 t=1560
you bing 	有病	c=1 d=1 t=898
you de 	有的	c=1 d=1 t=1267
you dian 	有点	c=4 d=1.52111 t=1468
you dian nao 	有电脑	c=1 d=1 t=157
you er yuan 	幼儿园	c=1 d=1 t=1040
you mei you 	有没有	c=2 d=1.0488 t=766
you na 	有哪	c=0 d=0.1 t=1460
you na ju hua 	有哪句话	c=1 d=1 t=1461
you pa 	又怕	c=1 d=1 t=764
you qian 	有钱	c=1 d=1 t=400
you ren 	有人	c=2 d=1.1097 t=1547
you shi hou 	有时候	c=1 d=1 t=635
you wo 	有我	c=1 d=1 t=1197
you xi 	游戏	c=4 d=1.11084 t=1543
you xi li 	游戏里	c=1 d=1 t=299
you xi ren sheng 	游戏人生	c=2 d=1.99501 t=1323
you yi ge 	有一个	c=1 d=1 t=411
you yi si 	有意思	c=1 d=1 t=1192
you zhong 	有种	c=1 d=1 t=981
yu 	煜	c=-1 d=0.00554422 t=1560
yu fa 	语法	c=1 d=1 t=263
yu guang zhong 	余光中	c=1 d=1 t=555
yu wen 	语文	c=2 d=2.05783 t=489
yu wen ying yu 	语文英语	c=1 d=1 t=484
yuan lai 	原来	c=1 d=1 t=89
yuan liang 	原谅	c=1 d=1 t=1379
yuan su 	元素	c=1 d=1 t=43
yuan yin 	原因	c=2 d=1.01851 t=1217
yuan zuo zhe 	原作者	c=1 d=1 t=929
yun dong hui 	运动会	c=1 d=1 t=1285
yun xing 	运行	c=2 d=1.66698 t=93
za yu 	杂鱼	c=1 d=1 t=1411
zai 	再	c=1 d=1 t=958
zai 	在	c=6 d=1.11824 t=1508
zai gei 	在给	c=1 d=1 t=1403
zai jia 	在家	c=1 d=1 t=349
zai jiu zhong 	在九中	c=1 d=1 t=442
zai mou zhong 	在某种	c=1 d=1 t=1055
zao 	早	c=0 d=0.1 t=1248
zao jiu 	早就	c=1 d=1 t=1581
zao qi 	早起	c=1 d=1 t=1417
zao wang le 	早忘了	c=1 d=1 t=1249
ze 	啧	c=21 d=1.48858 t=1582
ze ze 	啧啧	c=0 d=0.1 t=1582
ze ze ze 	啧啧啧	c=1 d=1 t=1583
zen me 	怎么	c=2 d=1.02096 t=1584
zen me ban 	怎么办	c=1 d=1 t=1494
zeng qiang ban 	增强版	c=1 d=1 t=874
zha 	炸	c=0 d=0.1 t=1452
zha lie 	炸裂	c=1 d=1 t=901
zha mei le 	炸没了	c=1 d=1 t=1453
zhan 	站	c=4 d=2.88771 t=810
zhang 	长	c=1 d=1 t=1240
zhang hao 	账号	c=1 d=1 t=147
zhao 	找	c=0 d=0.1 t=772
zhao jing zi 	照镜子	c=1 d=1 t=982
zhao pian 	照片	c=1 d=1 t=696
zhao yi ge 	找一个	c=1 d=1 t=1555
zhao zhao 	找找	c=1 d=1 t=928
zhe 	这	c=2 d=1.98511 t=1486
zhe ge 	这个	c=11 d=1.22731 t=1566
zhe me 	这么	c=2 d=1.29376 t=1198
zhe me duo 	这么多	c=1 d=1 t=784
zhe shi 	这是	c=2 d=1.09877 t=590
zhe xie 	这些	c=2 d=1.00566 t=1141
zhe zhong 	这种	c=2 d=1.75957 t=91
zhen de shi 	真的是	c=1 d=1 t=829
zhen jun 	真菌	c=1 d=1 t=1535
zheng chang 	正常	c=2 d=1.08629 t=781
zheng jing 	正经	c=1 d=1 t=1475
zheng ming 	证明	c=1 d=1 t=1078
zheng qiu 	征求	c=1 d=1 t=915
zhi 	指	c=1 d=1 t=652
zhi dao 	知道	c=2 d=1.81873 t=1522
zhi dao wo 	知道我	c=1 d=1 t=505
zhi jie 	直接	c=3 d=1.20915 t=1038
zhi neng 	只能	c=1 d=1 t=967
zhi qian 	之前	c=2 d=1.24383 t=1251
zhi quan 	职权	c=1 d=1 t=1517
zhi shao 	至少	c=1 d=1 t=1496
zhi shi 	只是	c=5 d=2.41838 t=1269
zhi wu 	职务	c=1 d=1 t=1511
zhi xu yao 	只需要	c=1 d=1 t=1012
zhi yao 	只要	c=1 d=1 t=40
zhi zhui qiu 	只追求	c=1 d=1 t=1146
zhong 	中	c=3 d=2.76731 t=902
zhong 	种	c=1 d=1 t=1355
zhong dian 	终点	c=2 d=1.07808 t=832
zhong dian 	重点	c=1 d=1 t=833
zhong guo 	中国	c=2 d=1.30575 t=1301
zhong yao 	重要	c=1 d=1 t=1544
zhong zi 	种子	c=1 d=1 t=237
zhou yi 	周一	c=1 d=1 t=1429
zhu 	祝	c=1 d=1 t=1343
zhu ye 	主页	c=1 d=1 t=804
zhu yin 	注音	c=1 d=1 t=223
zhuan men 	专门	c=1 d=1 t=615
zhuan yi 	转义	c=2 d=1.87372 t=31
zhuan zheng 	转正	c=1 d=1 t=552
zhuang 	撞	c=1 d=1 t=420
zhuang 	装	c=2 d=1.02448 t=1347
zi chou 	字丑	c=1 d=1 t=1398
zi dong 	自动	c=1 d=1 t=327
zi fu chuan 	字符串	c=1 d=1 t=30
zi ji 	自己	c=4 d=2.72608 t=1246
zi ji de 	自己的	c=1 d=1 t=1080
zi jian 	自建	c=1 d=1 t=853
zi xing che 	自行车	c=1 d=1 t=387
zong bu neng 	总不能	c=1 d=1 t=175
zu 	组	c=1 d=1 t=743
zui ben 	嘴笨	c=1 d=1 t=1381
zui tao yan 	最讨厌	c=1 d=1 t=1185
zuo dao 	做到	c=0 d=0.1 t=1329
zuo dao de 	做到的	c=1 d=1 t=1330
zuo le 	做了	c=1 d=1 t=957
zuo wen 	作文	c=1 d=1 t=1419
zuo zhe 	作者	c=1 d=1 t=618
